name,version,type,license,category
"tomli","2.0.1","python","MIT","permissive"
"tpm2-tss","3.2.3-1.el9","rpm","BSD","permissive"
"twilio","9.8.3","python","MIT","permissive"
"twisted","25.5.0","python","MIT License","permissive"
"txaio","25.9.2","python","MIT","permissive"
"typeguard","4.3.0","python","MIT","permissive"
"typing-extensions","4.12.2","python","sha256:3b2f81fe21d181c499c59a256c8e1968455d6689d269aa85373bfb6af41da3bf","permissive"
"typing-extensions","4.15.0","python","PSF-2.0","permissive"
"tzdata","2026b-1.el9","rpm","Public Domain","permissive"
"unzip","6.0-59.el9","rpm","BSD","permissive"
"uritemplate","4.2.0","python","BSD 3-Clause OR Apache-2.0","permissive"
"urllib3","2.6.3","python","MIT","permissive"
"utf8proc","2.6.1-4.el9","rpm","Unicode and MIT","permissive"
"util-linux","2.37.4-26.el9","rpm","GPLv2 and GPLv2+ and LGPLv2+ and BSD with advertising and Public Domain","weak-copyleft"
"util-linux-core","2.37.4-26.el9","rpm","GPLv2 and GPLv2+ and LGPLv2+ and BSD with advertising and Public Domain","weak-copyleft"
"uwsgi","2.0.30","python","GPLv2+","copyleft"
"uwsgitop","0.12","python","MIT","permissive"
"vim-minimal","2:8.2.2637-40.el9","rpm","Vim and MIT","permissive"
"virtualenv","21.7.4","python","MIT","permissive"
"websocket-client","1.8.0","python","Apache-2.0","permissive"
"wheel","0.45.1","python","MIT","permissive"
"wheel","0.46.3","python","MIT","permissive"
"which","2.21-30.el9","rpm","GPLv3","copyleft"
"wrapt","1.17.3","python","BSD","permissive"
"xmlsec1","1.2.29-13.el9","rpm","MIT","permissive"
"xmlsec1-openssl","1.2.29-13.el9","rpm","MIT","permissive"
"xz-libs","5.2.5-8.el9","rpm","Public Domain","permissive"
"yarl","1.22.0","python","Apache-2.0","permissive"
"yum","4.14.0-37.el9","rpm","GPLv2+","copyleft"
"zipp","3.19.2","python","MIT","permissive"
"zipp","3.23.0","python","MIT","permissive"
"zlib","1.2.11-41.el9","rpm","zlib and Boost","permissive"
"zope-interface","8.0.1","python","ZPL-2.1","permissive"
